[0:00]  Buenas. Buenas noches.
[39:07]  ¿Qué nos tienen? Nosotros 8 barcos y 2 submarinos al frente?
[39:10]  ¿Qué es eso? Eso nos amenaza.
[39:16]  La película de pendiente de te la vea.
[39:21]  Pacto internacional de derechos civiles y políticos,
[39:24]  violación y universal contra ejecuciones arbitrarias.
[39:29]  Ninguna sospecha de narcotráfico
[39:32]  autoriza aplicar la pena de muerte en el bar.
[39:36]  Víos las siones al propio marco legal de los Estados Unidos.
[39:40]  Marit Indrol, sobre las comas a las drogas.
[39:44]  La idea de aplicación contra el tráfico de drogas.
[39:46]  Esta ley permite restar en huisiar y en huisiar en barcacciones en Alta Mar,
[39:49]  pero no autoriza secuciones.
[39:51]  El deber era de tener y presentar ante tribunal.
[39:54]  Eso es ni Estados Unidos.
[39:56]  Con institución de los Estados Unidos quinta en Mende,
[39:59]  consagra el debido proceso.
[40:01]  Esa gente le era un chance de defenderse.
[40:03]  Una vez de arriba de noche,
[40:06]  disjeron sonar contraficantes y además son del...
[40:09]  Bueno, tiene una confusión.
[40:10]  No se vea decir, de el tren de aragua y les dispararon.
[40:15]  Les diron chances de defenderse y decir,
[40:17]  ¿epayonos hoy de solganización?
[40:23]  Resolución son los poderes de guerra,
[40:25]  no votorización de concreto para un acto
[40:27]  que constituye uso de la fuerza armada.
[40:29]  Jurisprudencia comparable porque esto ahorita que comienza esto,
[40:36]  porque por ejemplo,
[40:40]  el estúpido pillo que gobierna dominicana
[40:45]  y la borracha que gobierna a trenidad.
[40:50]  Cuando llegan y salen, pues una borracha se pone en del lado
[40:53]  de este ataque, están condenando sus entes,
[40:56]  se ejecutadas en el mar.
[40:58]  A sus pescadores, los están condenando a hacer ejecutado.
[41:06]  ¿Por qué en quién determinó aquí que esas personas eran de dónde?
[41:14]  En 2018, la Corte Penal Internacional
[41:18]  abrió un examen preliminar contra Rodrigo Duterte,
[41:22]  presidente de Filipinas por esclusiones extradiciales
[41:25]  en su llamada Guerra contra la droga.
[41:29]  El paralismo evidente, justificar a sesinato,
[41:32]  sumario bajo el pretexto del narcotráfico.
[41:37]  Una conclusión que me presenta,
[41:39]  esta gente que tiene dudas y me pidió que yo lo leyera,
[41:43]  dice, lo que Estados Unidos presentó
[41:45]  como un golpe contra narcono es más que una más sacra y legal
[41:49]  en aguas internacionales.
[41:51]  Vioar a un el derecho internacional,
[41:53]  y ahora a un su propio eslailla y los más graves,
[41:56]  violado un principio humano elemental del derecho a la vida.
[42:00]  Esto no fue justicia, fue barbaria.
[42:03]  Un acto imperial que pretende imponerse, como ejemplo de fuerza,
[42:06]  pero que se enmascará una vez más la doro emoral
[42:10]  de la Administración de Washington,
[42:12]  hablando de democracia y de los humanos mientras practican ejecucciones
[42:15]  sumarias en el mar.
[42:19]  El que no la debe, no la téme.
[42:22]  Aquí en Venezuela nosotros podemos hablar de esto.
[42:25]  Nos somos complicidades.
[42:27]  Ni en narcotráfico ni de ejecucciones en el tamar.
[42:31]  Con batimos en el narcotráfico.
[42:33]  Sí, venga de donde venga y vaya, pon de vaya.
[42:38]  Todos sabemos dónde va.
[42:41]  Yo me alegraía mucho,
[42:43]  que en Estados Unidos comenzaran una cruzada interna
[42:46]  para quedar en los carteles que distribuían la droga a la gente.
[42:49]  Y el mundo era una fiesta,
[42:52]  pero ni en películas hemos visto jamás
[42:55]  que detiene acá van con un cartel de drogas de Estados Unidos.
[42:59]  Y es el país del mundo que sus habitantes consumen más drogas.
[43:08]  Solo para la reflexión.
[43:10]  Yojalá que estos comentarios sirven para generar respuestas ante las dudas.
[43:16]  Ojalá que los que ejecutaron esta acción puedan responder estas cosas.
[43:22]  A su propia gente en los Estados Unidos.
[43:24]  Por el total generando un rechazo.
[43:29]  Allá el Congreso de Estados Unidos debería iniciar una investigación.
[43:34]  ¿Cuánto vale la movilización de todo ese ton de barco para acabar con un peñero?
[43:40]  ¿Quién está pagando eso?
[43:45]  No esto nos mentira suena eso suena sí, pero es una realidad, ¿vale?
[43:51]  Es una realidad.
[43:55]  Porque es que en verdad detrás de eso, no hay ninguna lucha contra la droga.
[43:59]  Lo que quieren es lo que ellos llaman puertas dentro, cambio de régimen.
[44:03]  Pero aquí aquí van a tener que inventarse una nueva.
[44:10]  Porque aquí van a conseguir este pueblo unido.
[44:14]  Unido.
[44:24]  Númeran la verdad es.
[44:28]  Númeran la verdad es.
[44:31]  Yo lo voy a decir.
[44:34]  Porque hoy, hasta hoy, por ejemplo,
[44:37]  hemos decomisado 56.200 diesiocho, kilos de droga.
[44:45]  Esa es 56 tonlada.
[44:48]  Pero más importante, inclusive, que eso es la destrucción de la relojística.
[44:56]  La destrucción de la relojística que le hemos hecho,
[44:59]  donde cargaban gasolina, donde tener las lanchas, donde tener un marino,
[45:03]  los atilleros, entonces se lo hemos vuelto papilla.
[45:12]  Hoy, mi de hoy.
[45:18]  Otro avión, van 400 dos aviones.
[45:23]  Su fue en Maurovar, esa es la pazilita como que no hubo una pusieron aquí al final.
[45:28]  Estaba que le llevaron.
[45:31]  En Mauro, una avióneta más, 400 dos de todas las que hemos destruido.
[45:43]  O nuestra fuerza armada nacional Bolivariana.
[45:46]  Ahora estamos así, mi de hoy.
[45:48]  La fuerza armada nacional Bolivariana, la policía y el pueblo.
[45:51]  Sí.
[45:57]  Campeo de regimen.
[46:02]  Le he visto un cuento, porque nosotros estamos aquí,
[46:06]  en una escucha, escucha, ¿no?
[46:10]  Es escucha, algunos que se alegran.
[46:14]  Hay otras interlocuiciones que atener un actitud,
[46:18]  acá, pero ahí lo tienen.
[46:22]  Partía o por dos lados.
[46:33]  No, yo no me ha durado.
[46:35]  Ella ganan habíaso, pero hombre no.
[46:38]  Es una posición circunstancial.
[46:41]  Ser custancial, tengamos cuidado, pero atener una posición de acuerdo a la circunstancia.
[46:46]  Aquí se exige unidad nacional, mínimo unidad nacional.
[46:53]  Antes los ataques, antes la violación, el acedio, el acedio,
[47:01]  a nuestra patria, que hacemos, nos quedamos tranquilo.
[47:06]  Por eso, nuestro hermano presidente se ha puesto al frente en defensa de la patria.
[47:14]  Como debes ser.
[47:17]  Y nosotros ahí.
[47:21]  Y entonces, en mano, tenemos ejercicios.
[47:24]  Huebes y viernes ejercicios de termilicidad, organización entre namientos.
[47:28]  Misiones.
[47:34]  Y los bendepatri haberán.
[47:38]  Verán que hace.
[47:39]  No hubo moral.
[47:43]  Tenemos tu tienes el video de la destrucción.
[47:46]  No hubo moral la verdad es.
[47:50]  Este es el último avión.
[47:54]  Pasamos los hittas, pasamos los hittas, es la verdad es.
[47:58]  No hubo moral la verdad es.
[48:00]  No hubo moral la verdad es.
[48:04]  Números para el debate tan y para la información, la divulgación.
[48:10]  Fuente, informes de la Fiscina de las Naciones Unidas contra la droga y el delito uno dozo.
[48:16]  En el año 2001, antes de la llegada de Estados Unidos,
[48:20]  a San Cristiano, se producen 180 y 5 toneladas al año.
[48:30]  Y llegó esta dos unidos.
[48:33]  En el año 2002, sabe cuánto comenzaron a producirse?
[48:37]  3.400 toneladas.
[48:20]  Aganistán se producían 180,5 toneladas al año.
[48:30]  Llego esta dos unidos.
[48:32]  En el año 2002, ¿sabe cuánto comenzaron a producirse?
[48:35]  3.400 toneladas.
[48:41]  2003, 169,448,200.
[48:47]  2007, 8.200.
[48:52]  2017 llegaron a 9.000 toneladas.
[48:59]  2020, bajo hace 1.300, 122 hace 1.200.
[49:06]  Porque su vida ha sido Estados Unidos, llegó a combater la droga.
[49:10]  No se pregunta.
[49:11]  Estos son fuentes de un órganoimos serio.
[49:17]  Porque las bases militares que están en Colombia, que una de las razones que la
[49:23]  interlación de esa base militar fue para que pa' combater narcotráfico.
[49:31]  Pa' combater narcotráfico y entonces.
[49:35]  Claro, cuando Estados Unidos se va, el tal Iván, el tal Iván que ellos le han
[49:43]  consema satanizado del 2022, que fueron 6.200, último año Estados Unidos.
[49:51]  2003, primer año el nuevo veto, tal Iván, 333 toneladas.
[49:56]  Los dos de los 95% solo taparados.
[50:01]  Y en el 2004, 433 y el 2005 dicen quienes gobiernos allá que va a palo abajo.
[50:09]  Entonces, las drogas y la producción de droga aumenta cuando llegó Estados Unidos a
[50:13]  Ganistán, expliquenme.
[50:17]  expliquenle al mundo eso.
[50:22]  expliquenle al mundo eso.
[50:26]  Porque son cosas que...
[50:28]  Hay cosas que uno no termina de...
[50:39]  Sí, pero esto es estaría.
[50:42]  En Ganistán de 82.000 hectares pasaron a 220.24.000 hectares.
[50:59]  ¿Cómo hacemos?
[51:01]  ¿Cómo explicamos eso?
[51:05]  Como explicamos que en Colombia las bases militares no contribuyen a radicar ni el cultivo,
[51:14]  ni el laboratorio, ni en tráfico, que hacen que hay cieron para que lo utilizaron
[51:22]  un duque para que lo utilizó uribe, para que lo utilizó santo, para que lo utilizó
[51:30]  pastrana, alucrase, del negocio, del narcotráfico.
[51:36]  Es la misma película de lo que tenemos nosotros ahorita en Ecuador.
[51:45]  Es la misma película.
[51:48]  Como no pueden sacar por aquí, se va a padeón de...
[51:51]  Es como la corriente lectrica.
[51:54]  La corriente lectrica se va siempre por donde consiguié menos resistencia.
[52:01]  Usted le pone una resistencia y llega a hechóca y se devuelves.
[52:05]  Y se va por donde no hay resistencia.
[52:07]  Nosotros somos una resistencia.
[52:09]  Venezuela es una resistencia.
[52:11]  ¿No hubiera la verdad?
[52:17]  ¡No!
[52:19]  ¡Mira nada de eso nos es moralizamos a otro y yo me mensaje a nuestro pueblo!
[52:24]  ¿Qué no va a pasar nada?
[52:26]  Pues aquí hay un gobierno que protege y despenderte.
[52:29]  Pero aquí hay un pueblo embaraggetado.
[52:33]  Mira, María, a María no la llevaba pa' ya.
[52:38]  ¿Qué hay a llevar la bala de palcampamento?
[52:40]  ¿Tú no es ahí domaria?
[52:41]  ¿Tienes que ir?
[52:42]  Fue eso a torrosa.
[52:44]  Fue eso a torrosa.
[52:45]  Para llave.
[52:46]  María tiene que mañana puede ir.
[52:50]  mañana o el viernes.
[52:52]  Pues bueno que tú vaya.
[52:53]  Cuando tú puedas tú me dice y te llamo.
[52:55]  ¿Puedes tener que escuchar a María?
[52:57]  ¿Te están nuestros muchachos, María?
[53:01]  Bueno, tú sé que dijo que dijo a torrosa.
[53:05]  Me siento un campamento guerrillero.
[53:08]  Es tan lo muy одhey.
[53:12]  Hí decirlo muy.
[53:15]  Porque�츩al, ¿que ellos comenzaron un grupo?
[53:17]  Es decir, las palabras textuales que ellos usaron, cuando.
[53:23]  Ya va.
[53:33]  Pero sí, por lo 소리.
[53:36]  con alguien. No quiero, ellos se reunieron entre ayario hoy.
[53:45]  De aquí, porque se ha mantenido, yo le digo, tienen que mantener, tienen que servir para
[53:50]  estar cada día más unido.
[53:53]  Al que me crees. A noche sí, hemos una dinámica muy importante, mi capitán. Orientamos
[53:59]  que se reunieran por altercación de Estado y se naran juntos por Estado. Eso reno
[54:03]  a la gente de la misma territoria. Se escucharon cosas como dos puntos. De aquí, no nos vamos.
[54:11]  Nos sacan, pero sin pulso. No se van a rendir.
[54:17]  No se van a rendir.
[54:22]  Esa juventud, sin duda será otra cosa.
[54:25]  No hubiera la verdad, es.
[54:34]  Si ustedes lo que están aquí o alguien que me puede escribir, sobre esas dudas, les agradezco.
[54:44]  Les agradezco. Ya alguien ya aclaré un poquito de su pureje. No es convencent. No es convencent.
[54:55]  Es convencen heredudas por donde lo busque. No hay forma de creer nada de eso.
[55:03]  Más allá del relato.
[55:06]  Y si lo hicieron de verdad, asesinaron a un ser persona, se informó la destruición. Eso se
[55:14]  puede hacer?
[55:16]  Por el punto yo se se puede hacer ¿no?
[55:20]  Si eso se puede hacer.
[55:27]  F. Meryes.
[55:30]  28 de goto de 2008, se 17 años al comandante Hugo Chavez y inauguró en el marco la visión
[55:34]  13 de abril. La primera como una sociedad igual y España en Tacago había gestado la
[55:40]  su considerable chainpla gerándolito de la lega cad Yamburó en rise de contra de Gut �кого.
[55:48]  tinham venido a Pancho backstory.
[55:53]  20hh 89. 000. 003000.
[55:56]  de la Presidente Cuatro yano
[55:58]  Rafael Correa, el bloque ya
[56:00]  cuyo cinco de la Faja Petrolifra
[56:02]  de Lorinoco, ubicado en el
[56:04]  municipio independencia del Estado
[56:06]  en Suátei.
[56:07]  30 de costos, hace 33 años
[56:10]  desde el 1992, hace 33 años
[56:13]  desde la cárcel de Yare,
[56:15]  el periodista José Vicente
[56:16]  Ranjel, entrevistó al
[56:18]  Comandante Higüchaves,
[56:20]  en eso oportunidad durante
[56:21]  la gravación al Comandante
[56:22]  explicó la importancia de
[56:23]  refundar la República,
[56:24]  de no la Constitución al país
[56:26]  gobernar para las mayores
[56:28]  excluidas, democratizar las
[56:30]  instituciones y garantizar
[56:32]  la participación popular
[56:34]  la entrevista fuese
[56:35]  en su lado por el gobierno de
[56:37]  Carlos Andrés Pérez, me cuentan
[56:39]  algunos nosotros estamos presos
[56:41]  pero me cuentan algunos
[56:42]  que Aristóbulos conundarío
[56:44]  y otra gente trató de
[56:45]  pasarla en la plaza
[56:47]  Bolívaras, que en Caracas
[56:49]  y no un foro, o sí no,
[56:52]  no lo que llamas eso,
[56:53]  no les callaron a Palo,
[56:55]  los cabilleros,
[56:56]  llegaron los cabilleros, sí,
[56:58]  sí, no, pero le callaron
[57:02]  golpe a la gente,
[57:03]  30 de gosto,
[57:04]  día internacional de las víctimas
[57:06]  de desapariciones forzadas
[57:08]  aquí sea víctimas,
[57:10]  esa población es forzada,
[57:11]  ahorita llegaron los guerreros
[57:14]  de la oposición,
[57:16]  la desaparición forzada,
[57:17]  ¿es saben dónde está?
[57:19]  Y no les proporcionforzada
[57:21]  con nadie,
[57:22]  y saben por qué está.
[57:25]  Un océ de la gente que los
[57:28]  que participaron
[57:30]  en el monzama esto,
[57:33]  en la operación,
[57:34]  esta mal llamada de deón, en la invasión.
[57:37]  Ellos dicen que son de nocentes
[57:40]  y su familia,
[57:42]  no, no son de nocentes
[57:44]  como paquéis.
[57:47]  31 agosto,
[57:49]  en 1967,
[57:50]  hace 58 años,
[57:52]  murió en un emboscado
[57:53]  la Argentina y de Tamarabunke Biden.
[57:55]  Mejor conocida
[57:56]  como Tamarabunke,
[57:57]  o Tania La Guerrillera,
[57:58]  fue un activo militante
[57:59]  del Partido Socialista
[58:01]  Unificado de Alemania
[58:02]  y del Partido Comunista de Cuba.
[58:04]  Partisipón,
[58:05]  las guerrillas o un turnesto
[58:06]  cheguevaren Bolivia,
[58:07]  murió en combate
[58:08]  con su fusile en manos,
[58:12]  siendo estandarte
[58:13]  los valores revolucionarios
[58:14]  y patrióticos características
[58:16]  de la mujer combatiente.
[58:18]  31 agosto,
[58:19]  de internacional de la...
[58:00]  militante del Partido Socialista Unificado de Alemania y del Partido Comunista de Cuba,
[58:05]  participó en las guerrillas de un turnesto cheguevara en Bolivia, murió en combate,
[58:11]  con su fusil en manos siendo estandarte a los valores revolucionarios y patrióticos
[58:15]  características de la mujer combatiente. 31 de gosto de internacional de la Afroesendencia,
